"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Интернет-магазин","1","0","","0"
"0","","0","Форма данных","1","0","","0"
"0","","0","Калькулятор","1","0","","0"
